sn,product_id,system_version,min,max,avg
ABPZ0EC100099,321,V1.0.739,13604,162482,45617
ABPZ0F4100490,321,V1.0.805,8728,207822,81166
ABPZ0EC100031,321,V1.0.772,165788,1474894,942205
ABPZ0EC100152,321,V1.0.772,240625,1739383,1024911
ABPZ0EC100199,401,V1.0.815,655745,2241497,1274689
ABPZ0EC100213,321,V1.0.772,90849,451864,272188
ABPZ0EC100036,321,V1.0.772,167658,391755,339406
ABPZ0EC100205,401,V1.0.729,1056563,4341253,2402793
ABPZ0F4101193,321,V1.0.805,273,43577,27766
ABPZ0EC100179,321,V1.0.772,2552,251074,122726
ABPZ0EC100131,321,V1.0.772,143627,1458856,677664
ABPZ0EC100212,321,V1.0.772,911,184201,57928
ABPZ0F4101751,321,V1.0.805,7406,7406,3703
ABPZ0EC100073,321,V1.0.772,0,139412,32169
ABPZ0EC100077,321,V1.0.772,156966,779963,414803
ABPZ0EC100116,321,V1.0.772,76765,468501,249901
ABPZ0EC100051,321,V1.0.772,33165,47371,19361
ABPZ0EC100050,321,V1.0.772,288418,1174791,755538
ABPZ0F4101167,321,V1.0.872,273,9931,1628
ABPZ0F4101019,321,V1.0.805,368292,409287,233171
ABPZ0EB100888,401,V1.0.772,0,0,0
ABPZ0EC100098,321,V1.0.739,0,0,0
ABPZ0EC100155,321,V1.0.772,39847,771449,294731
ABPZ0EC100037,401,V1.0.772,215040,215040,215040
ABPZ0EC100186,321,V1.0.772,14442,203561,98632
ABPZ0EC100129,321,V1.0.772,5012,234811,121499
ABPZ0F4101015,321,V1.0.805,468038,677651,345160
ABTC0EC100005,401,V1.0.772,413630,1498747,842791
ABPZ0EC100075,321,V1.0.772,23367,240701,109187
ABPZ0EC100062,401,V1.0.772,1030335,3396178,2244321
ABPZ0F4100539,321,V1.0.805,24631,180829,93162
ABPZ0EC100215,401,V1.0.729,785314,4111713,2325008
ABPZ0EC100032,321,V1.0.772,3554,42963,24809
ABTC0EC100018,401,V1.0.772,944932,4739794,2452635
ABPZ0EC100197,321,V1.0.772,86277,718014,355148
ABPZ0EC100113,401,V1.0.772,600781,3556067,1598272
ABPZ0EC100201,401,V1.0.772,0,0,0
ABPZ0EC100230,321,V1.0.772,151474,737206,399671
ABPZ0EC100040,401,V1.0.735,451027,4021494,1701382
ABPZ0EC100106,401,V1.0.735,125772,2045012,1171059
ABPZ0EC100172,321,V1.0.735,23119,388152,186007
ABPZ0EC100220,321,V1.0.739,103209,241932,190792
ABPZ0EC100064,321,V1.0.772,0,0,0
ABPZ0F4101824,321,V1.0.805,70598,197944,76404
ABPZ0EC100123,321,V1.0.772,273833,1494700,894599
ABPZ0EC100153,321,V1.0.729,164641,855504,500924
ABPZ0F4100755,321,V1.0.805,3281,53866,22853
ABPZ0EC100008,321,V1.0.735,156994,1686437,717973
ABPZ0F4100094,321,V1.0.805,0,19936,2620
ABPZ0EC100024,401,V1.0.586,766405,3220670,1901252
ABPZ0EC100223,321,V1.0.772,172999,1064250,618913
ABPZ0EC100115,321,V1.0.772,409322,2390405,1387979
ABPZ0EC100228,321,V1.0.772,51402,417031,220159
ABPZ0EC100092,401,V1.0.772,292758,1099017,664635
ABPZ0EC100217,321,V1.0.772,2535,6868,1418
ABPZ0EC100027,321,V1.0.739,0,0,0
ABPZ0EC100160,401,V1.0.772,813833,1864086,1441248
ABPZ0EC100048,321,V1.0.772,15858,223152,145400
ABPZ0EC100054,321,V1.0.739,0,0,0
ABPZ0EC100014,401,V1.0.815,655656,1954951,1411769
ABPZ0EC100165,321,V1.0.772,63486,572966,294494
ABPZ0EC100134,401,V1.0.799,370588,2419538,1817599
ABPZ0EC100052,321,V1.0.772,57549,287667,118204
ABPZ0EC100143,321,V1.0.772,359154,1733983,1126665
ABPZ0EC100072,321,V1.0.772,33315,394828,228550
ABPZ0EC100221,401,V1.0.772,501922,3861348,1884003
ABPZ0F4101840,321,V1.0.805,91,153369,72664
ABPZ0EC100210,321,V1.0.772,205860,1039906,657518
ABPZ0F4100981,321,V1.0.805,10782,45848,35147
ABPZ0EC100002,321,V1.0.772,41879,345853,182922
ABPZ0F4101200,321,V1.0.805,0,12630,2619
ABPZ0EC100191,321,V1.0.772,68899,1004665,445049
